###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58271.377238 -23.669 12.800    -1   16 o  0   1.09 183.04289  13.24918  6099.19  3388.67 2.34 2.20 -61.2 -0.460 19.10 20.00 02a58271o0292o
58272.353090 -16.599  1.503  -833 1252 o  0   1.08 183.04289  13.24918  2578.83   662.76 3.67 3.01 -15.4 -0.465 16.58 17.91 01a58272o0257o
58272.363496  19.232  0.976    74   72 o  0   0.69 183.04289  13.24918  2608.71   738.06 3.57 3.14  -6.5 -0.382 17.49 18.91 01a58272o0279o
58272.374348 -12.557  0.927 -34465 31950 o  0   0.98 183.04289  13.24918  2561.48   696.37 3.35 2.73  -5.1 -0.454 13.21 15.17 01a58272o0302o
58272.384698 -21.831  7.538    -7   51 o  0   0.87 183.04289  13.24918  2554.84   847.87 3.36 2.81  -7.1 -0.398 18.58 19.68 01a58272o0324o
58273.334850 -21.987  2.583    -6   15 o  0   1.10 183.04289  13.24918  7377.51  8666.23 3.54 3.12 -88.8 -0.412 19.20 20.99 01a58273o0217o
58273.342877  21.181  1.224    12   15 o  0   0.87 183.04289  13.24918  7404.69  8734.07 3.32 2.84 -83.1 -0.423 19.27 20.91 01a58273o0233o
58273.352175  21.048  1.196    14   16 o  0   1.19 183.04289  13.24918  7354.06  8690.75 3.72 2.95 -82.7 -0.408 19.22 20.84 01a58273o0252o
58273.362839  20.060  0.493    34   17 o  0   0.96 183.04289  13.24918  7346.50  8844.88 3.76 3.06 -83.6 -0.413 19.21 20.77 01a58273o0274o
58275.334970 -20.885  0.823   -16   13 o  0   0.99 183.04289  13.24918  3386.85   329.20 2.47 2.13  37.9 -0.460 19.47 20.65 02a58275o0217o
58275.340474 -21.079  0.929   -13   12 o  0   1.16 183.04289  13.24918  8137.99 10027.33 2.52 2.36  38.4 -0.453 19.44 20.66 02a58275o0228o
58275.342999  23.539  9.091     1   13 o  0   1.28 183.04289  13.24918  3367.76   288.97 2.53 2.12  33.9 -0.460 19.43 20.62 02a58275o0233o
58275.349416 -20.199  0.514   -30   16 o  0   1.11 183.04289  13.24918  8118.44  9987.67 2.81 2.67  46.3 -0.436 19.34 20.63 02a58275o0246o
58275.352900  21.229  1.125    12   13 o  0   1.26 183.04289  13.24918  3427.12   366.96 2.44 2.10  39.2 -0.462 19.46 20.62 02a58275o0253o
58275.359484 -22.444  4.083    -4   16 o  0   1.20 183.04289  13.24918  8177.72 10066.84 2.74 2.53  38.5 -0.438 19.38 20.64 02a58275o0266o
58275.362593 -20.115  0.374   -33   12 o  0   1.52 183.04289  13.24918  3446.99   248.30 2.63 2.24  35.2 -0.456 19.37 20.62 02a58275o0272o
58275.370728  21.872  2.043     6   13 o  0   1.55 183.04289  13.24918  8196.54  9949.13 2.46 2.35  32.5 -0.459 19.40 20.58 02a58275o0288o
58279.344808 -22.298  2.393    -4   10 c  0   1.24 183.04289  13.24918  5876.26  1391.07 2.56 2.51  74.2 -0.410 19.50 21.23 02a58279o0218c
58279.356170 -20.709  0.638   -19   12 c  0   1.00 183.04289  13.24918  5858.16  1351.61 2.66 2.51 -68.5 -0.400 19.46 21.17 02a58279o0241c
