HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459762.915,2022-07-02.4156038,bH,1.46,18.561,>18.561,99.99,-0.05,0.027,g
2459764.942,2022-07-04.4423057,bl,1.48,17.682,>17.682,99.99,0.13,0.061,g
2459766.928,2022-07-06.4278003,bl,1.51,18.387,>18.387,99.99,-0.08,0.032,g
2459767.836,2022-07-07.3354513,bl,1.44,18.675,>18.675,99.99,0.015,0.025,g
2459773.576,2022-07-13.0752818,bp,1.63,16.817,>16.817,99.99,0.306,0.136,g
2459775.555,2022-07-15.0540760,bp,1.6,16.718,>16.718,99.99,0.272,0.149,g
2459782.551,2022-07-22.0494451,bp,1.59,17.61,>17.610,99.99,-0.013,0.066,g
2459785.948,2022-07-25.4462184,bD,1.43,18.438,>18.438,99.99,0.038,0.031,g
2459786.816,2022-07-26.3135950,bl,1.64,18.614,>18.614,99.99,0.01,0.026,g
2459787.933,2022-07-27.4313207,bH,1.43,18.182,>18.182,99.99,-0.023,0.039,g
2459789.774,2022-07-29.2714579,bt,1.53,18.515,>18.515,99.99,0.011,0.029,g
2459790.929,2022-07-30.4264009,bD,1.46,18.938,>18.938,99.99,-0.051,0.019,g
2459792.75,2022-08-01.2474922,bl,1.54,18.515,>18.515,99.99,-0.011,0.029,g
2459793.797,2022-08-02.2946557,bl,1.53,18.56,>18.560,99.99,-0.04,0.027,g
2459795.759,2022-08-04.2560303,bt,1.47,18.09,>18.090,99.99,-0.116,0.042,g
2459796.75,2022-08-05.2470552,bH,1.52,18.444,>18.444,99.99,-0.053,0.03,g
2459799.887,2022-08-08.3838655,bD,1.6,17.428,>17.428,99.99,0.064,0.078,g
2459800.835,2022-08-09.3318888,bH,1.45,17.567,>17.567,99.99,0.102,0.068,g
2459801.735,2022-08-10.2316582,bl,1.54,16.503,>16.503,99.99,0.568,0.182,g
2459801.985,2022-08-10.4819880,bD,1.64,17.801,>17.801,99.99,0.057,0.055,g
2459804.752,2022-08-13.2484424,bl,1.48,17.068,>17.068,99.99,-0.016,0.108,g
2459804.911,2022-08-13.4077655,bD,1.52,17.22,>17.220,99.99,-0.014,0.094,g
2459805.911,2022-08-14.4075037,bD,1.5,17.735,>17.735,99.99,0.124,0.058,g
2459808.954,2022-08-17.4507065,bD,1.48,18.182,>18.182,99.99,-0.137,0.039,g
2459809.823,2022-08-18.3193381,bH,1.37,17.795,>17.795,99.99,-0.341,0.055,g
2459811.993,2022-08-20.4893287,bD,1.64,18.463,>18.463,99.99,0.064,0.03,g
2459813.945,2022-08-22.4410424,bD,1.54,18.847,>18.847,99.99,-0.032,0.021,g
2459815.445,2022-08-23.9404461,bp,1.61,18.057,>18.057,99.99,0.014,0.043,g
2459818.446,2022-08-26.9420660,bp,1.55,18.234,>18.234,99.99,-0.045,0.037,g
2459818.843,2022-08-27.3381446,bH,1.44,18.416,18.011,0.15,0.227,0.031,g
