###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58294.349823 -21.720  2.875    -7   21 o  0   1.11 208.90703  40.47754  5540.97  5245.33 2.93 2.89 -41.8 -0.443 18.83 19.95 01a58294o0239o
58294.353173  20.784  1.298    18   23 o  0   1.02 208.90703  40.47754  5481.52  5168.34 3.02 2.81  -0.7 -0.436 18.82 19.95 01a58294o0246o
58294.367079 -20.442  0.833   -24   20 o  0   1.71 208.90703  40.47754  5470.25  5284.91 2.83 2.72 -71.9 -0.468 18.84 19.87 01a58294o0276o
58296.340578 -21.188  1.850   -12   22 o  0   1.06 208.90703  40.47754  5850.80  6691.73 2.39 2.21 -37.3 -0.435 18.90 19.52 02a58296o0219o
58296.352197  21.414  2.435    10   24 o  0   1.03 208.90703  40.47754  5833.72  6652.71 2.45 2.12 -44.8 -0.401 18.89 19.46 02a58296o0243o
58296.365179 -20.656  0.901   -20   18 o  0   1.68 208.90703  40.47754  5890.23  6730.68 2.53 2.24 -43.0 -0.435 18.76 19.40 02a58296o0271o
58296.369611  20.592  1.169    21   25 o  0   0.89 208.90703  40.47754  5906.11  6612.92 2.17 2.08 -24.6 -0.529 18.81 19.37 02a58296o0280o
58297.346782 -19.736  1.147   -46   53 o  0   0.86 208.90703  40.47754  5005.08  5910.79 4.13 3.96 -72.6 -0.420 18.18 19.43 01a58297o0212o
58297.356501  19.182  0.531    77   41 o  0   1.51 208.90703  40.47754  5021.17  5948.26 3.65 3.53 -60.2 -0.405 18.26 19.38 01a58297o0231o
58297.366319 -23.145 25.667    -2   52 o  0   1.16 208.90703  40.47754  4961.95  5871.69 3.95 3.83 -32.0 -0.419 18.10 19.31 01a58297o0250o
58297.375652 -21.571  5.963    -8   51 o  0   0.94 208.90703  40.47754  4949.15  5988.22 3.93 3.65 -79.5 -0.416 18.14 19.26 01a58297o0269o
58298.299462 -22.125  5.667    -5   29 o  0   1.17 208.90703  40.47754  6862.70  6142.16 3.62 3.13 -82.7 -0.413 18.77 19.95 01a58298o0126o
58298.308274 -22.975 11.545    -2   27 o  0   0.84 208.90703  40.47754  6879.00  6179.11 3.43 2.82 -83.0 -0.433 18.85 19.92 01a58298o0145o
58298.320729 -21.806  4.000    -7   28 o  0   1.21 208.90703  40.47754  6819.41  6103.35 3.49 3.00 -83.2 -0.424 18.75 19.87 01a58298o0172o
58298.321189 -20.310  1.064   -27   29 o  0   0.93 208.90703  40.47754  6807.01  6219.76 3.70 3.14 -83.2 -0.409 18.71 19.87 01a58298o0173o
58300.316911 -22.659  9.062    -3   28 o  0   0.82 208.90703  40.47754  7135.25  5766.66 2.45 2.08 -48.1 -0.404 18.76 19.72 02a58300o0167o
58300.325381  22.136  4.200     5   21 o  0   1.85 208.90703  40.47754  7117.53  5726.77 2.49 2.21 -48.4 -0.388 18.67 19.38 02a58300o0185o
58300.333770  19.035  0.673    88   59 o  0   1.17 208.90703  40.47754  7173.47  5804.74 2.54 2.26 -44.3 -0.414 17.88 18.49 02a58300o0203o
58300.342224  20.438  1.280    24   31 o  0   0.90 208.90703  40.47754  7185.22  5689.12 2.25 2.01 -48.0 -0.426 18.53 19.03 02a58300o0221o
58302.309401  19.689  0.301    48   15 o  0   1.28 208.90703  40.47754  4983.22  4712.56 3.16 3.13 -12.8 -0.434 19.29 21.10 01a58302o0074o
58302.317784  21.387  1.288    10   13 o  0   1.47 208.90703  40.47754  5015.21  4750.15 2.97 2.88  -5.9 -0.451 19.37 21.12 01a58302o0092o
58302.326163  19.751  0.317    46   14 o  0   1.16 208.90703  40.47754  4956.13  4673.02 3.12 3.10 -73.9 -0.438 19.27 21.09 01a58302o0110o
58302.334106  21.019  1.042    14   15 o  0   1.00 208.90703  40.47754  4930.19  4789.45 2.97 2.90 -20.1 -0.445 19.34 21.08 01a58302o0127o
58304.303534  20.114  0.651    33   21 o  0   1.28 208.90703  40.47754  6843.30  6189.16 2.53 2.21 -49.0 -0.428 18.81 20.17 02a58304o0139o
58304.306873 -20.444  0.905   -24   22 o  0   1.11 208.90703  40.47754  6827.83  6149.48 2.32 2.07 -50.0 -0.424 18.74 20.01 02a58304o0146o
58304.316333 -20.075  0.775   -34   26 o  0   1.11 208.90703  40.47754  6884.08  6227.83 2.38 2.10 -51.2 -0.419 18.59 19.89 02a58304o0166o
58310.295546  21.129  1.383    13   18 o  0   1.01 208.90703  40.47754  6263.82  3648.89 3.64 3.13  -1.5 -0.425 19.26 21.14 01a58310o0054o
58310.296926 -20.344  0.741   -26   20 o  0   0.74 208.90703  40.47754  6251.64  3766.46 3.35 3.07  -2.0 -0.433 19.27 21.16 01a58310o0057o
58312.308599  20.773  0.594    18   11 c  0   1.11 208.90703  40.47754  6188.59  6357.16 2.71 2.51 -38.0 -0.424 19.72 21.62 02a58312o0141c
58312.318612  22.236  2.118     5   10 c  0   1.08 208.90703  40.47754  6157.13  6317.25 2.51 2.42 -35.3 -0.406 19.66 21.52 02a58312o0162c
58312.328655  22.884  4.150     3   11 c  0   1.43 208.90703  40.47754  6213.28  6395.12 2.53 2.41 -39.4 -0.406 19.79 21.68 02a58312o0183c
58312.344217  21.066  0.699    14   10 c  0   1.12 208.90703  40.47754  6242.46  6278.26 2.52 2.45 -35.9 -0.415 19.75 21.65 02a58312o0216c
58316.305835  21.223  1.179    12   14 c  0   1.15 208.90703  40.47754  4380.80  5813.97 3.02 2.83 -46.1 -0.380 19.46 21.28 02a58316o0136c
58316.315735  20.781  0.742    18   13 c  0   1.32 208.90703  40.47754  4365.15  5774.09 3.22 3.05 -48.2 -0.370 19.33 21.28 02a58316o0157c
58316.325235 -21.046  1.065   -14   15 c  0   1.05 208.90703  40.47754  4407.83  5849.68 2.86 2.72 -48.3 -0.385 19.26 20.97 02a58316o0177c
58316.342563 -22.494  3.611    -4   13 c  0   1.11 208.90703  40.47754  4436.66  5732.77 3.16 3.06 -39.8 -0.381 19.38 21.31 02a58316o0214c
58318.245317  20.083  0.975    34   33 o  0   1.28 208.90703  40.47754  4863.45  5042.91 3.10 2.89 -89.8 -0.449 18.21 18.94 01a58318o0018o
58318.263517  21.211  2.034    12   24 o  0   0.98 208.90703  40.47754  4894.05  5078.14 3.09 2.83  -5.0 -0.439 18.81 19.96 01a58318o0057o
58318.269206  22.707  6.438     3   19 o  0   1.22 208.90703  40.47754  4834.98  5001.53 2.91 2.74  -8.1 -0.457 18.93 20.06 01a58318o0069o
58318.273437  19.545  0.445    55   25 o  0   0.84 208.90703  40.47754  4807.89  5117.84 3.25 3.04  -8.7 -0.422 18.84 20.07 01a58318o0078o
58320.258404 -20.173  1.932   -31   60 o  0   0.90 208.90703  40.47754  4455.94  5602.08 2.93 2.90  41.5 -0.208 17.89 18.10 02a58320o0055o
58320.272653 -12.690  1.610 -30474 49055 o  0   1.15 208.90703  40.47754  4508.94  5658.97 24.35 5.87   0.0 -0.136 11.95 11.98 02a58320o0085o
58322.245165  22.377  9.636     4   39 o  0   1.15 208.90703  40.47754  3932.43  5689.65 3.04 2.69  -3.1 -0.468 18.55 19.39 01a58322o0018o
58322.254471 -20.786  1.183   -18   21 o  0   0.95 208.90703  40.47754  3948.99  5725.11 2.92 2.53  -4.2 -0.467 18.99 20.15 01a58322o0038o
58322.267036  19.844  0.476    42   20 o  0   1.12 208.90703  40.47754  3890.82  5647.02 3.09 2.69  -3.4 -0.449 19.01 20.24 01a58322o0065o
