###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58298.260546 -20.169  1.008   -31   31 o  0   1.42 174.24897  55.16395  5186.96  6724.20 3.40 3.12 -83.6 -0.424 18.55 19.65 01a58298o0042o
58298.274501  21.069  2.565    14   35 o  0   1.20 174.24897  55.16395  5210.03  6762.31 3.28 2.98 -82.7 -0.422 18.55 19.57 01a58298o0072o
58298.282796  19.679  0.802    49   39 o  0   1.28 174.24897  55.16395  5143.21  6707.34 3.28 3.16 -62.7 -0.414 18.45 19.51 01a58298o0090o
58298.288855  22.327  9.526     4   40 o  0   1.09 174.24897  55.16395  5134.22  6824.15 3.24 3.07 -75.0 -0.430 18.45 19.45 01a58298o0103o
58300.296538  21.220  2.531    12   30 o  0   0.96 174.24897  55.16395  8862.94  5298.52 2.22 2.17  33.8 -0.471 18.38 19.44 02a58300o0124o
58300.305141  23.470 22.500     2   33 o  0   1.08 174.24897  55.16395  8839.02  5258.88 2.11 2.09  39.4 -0.492 18.31 19.43 02a58300o0142o
58300.314097  19.447  0.741    60   45 o  0   1.99 174.24897  55.16395  8892.43  5337.26 2.20 2.12  38.1 -0.458 17.56 18.29 02a58300o0161o
58300.322568 -20.357  0.665   -26   17 o  0   1.55 174.24897  55.16395  8911.63  5221.89 2.36 2.16 -32.4 -0.420 18.96 19.62 02a58300o0179o
58302.295254  20.296  0.636    28   18 o  0   1.06 174.24897  55.16395  3294.32  5260.49 3.28 2.96  -2.2 -0.445 19.08 20.66 01a58302o0044o
58302.303709  20.833  1.179    17   20 o  0   1.08 174.24897  55.16395  3307.18  5300.07 3.46 3.10  -2.5 -0.427 19.07 20.64 01a58302o0062o
58302.312206  23.152  8.875     2   18 o  0   1.31 174.24897  55.16395  3252.05  5222.23 3.52 3.00  -4.0 -0.426 19.07 20.60 01a58302o0080o
58302.320100  20.837  1.164    17   20 o  0   0.90 174.24897  55.16395  3232.65  5338.00 3.45 3.04  -7.8 -0.430 19.07 20.60 01a58302o0097o
58304.288032  21.375 11.778    10  120 o  0   1.33 174.24897  55.16395  8563.48  5689.64 2.31 2.27 -45.8 -0.393 16.66 17.52 02a58304o0106o
58304.299336  17.710  1.164   299  348 o  0   1.34 174.24897  55.16395  8536.46  5649.47 2.76 2.59 -45.3 -0.346 16.61 17.64 02a58304o0130o
58304.307347 -16.746  0.375  -727  273 o  0   1.17 174.24897  55.16395  8593.42  5746.60 2.30 2.19  49.0 -0.424 16.42 17.44 02a58304o0147o
58304.316805 -16.293  0.521 -1104  575 o  0   0.98 174.24897  55.16395  8614.73  5631.09 2.94 2.84  50.4 -0.416 15.90 17.12 02a58304o0167o
58310.300611  20.261  1.058    28   30 o  0   1.00 174.24897  55.16395  4628.60  4327.79 3.68 3.14  -0.4 -0.423 18.54 20.07 01a58310o0065o
58310.301072  22.419  7.889     4   31 o  0   1.07 174.24897  55.16395  4572.11  4250.93 3.70 3.15  -0.6 -0.419 18.55 20.05 01a58310o0066o
58310.310905  19.614  1.270    52   66 o  0   2.02 174.24897  55.16395  4553.95  4369.17 3.53 3.07   0.4 -0.427 17.78 19.22 01a58310o0087o
58312.274339 -19.705  1.350   -48   64 c  0   0.98 174.24897  55.16395  7903.40  5838.29 2.85 2.66 -21.3 -0.387 17.84 19.18 02a58312o0069c
