HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459928.856,2022-12-15.3542097,bs,1.67,17.311,>17.311,99.99,0.078,0.086,g
2459932.941,2022-12-19.4389016,bs,1.56,18.222,>18.222,99.99,-0.12,0.037,g
2459932.956,2022-12-19.4540437,bt,1.53,18.044,>18.044,99.99,0.091,0.044,g
2459933.799,2022-12-20.2972635,bk,1.39,17.632,17.488,0.192,0.367,0.064,g
2459934.716,2022-12-21.2142133,bl,1.53,17.738,>17.738,99.99,0.09,0.058,g
2459935.507,2022-12-22.0049464,bp,1.49,17.705,>17.705,99.99,-0.042,0.06,g
2459935.946,2022-12-22.4437640,bs,1.56,18.246,>18.246,99.99,-0.115,0.037,g
2459936.79,2022-12-23.2879792,bl,1.53,18.173,>18.173,99.99,-0.034,0.039,g
2459942.701,2022-12-29.1987812,bl,1.46,18.271,>18.271,99.99,-0.033,0.036,g
2459943.674,2022-12-30.1713489,bH,1.42,18.045,>18.045,99.99,-0.017,0.044,g
2459944.722,2022-12-31.2190184,bG,1.42,17.974,>17.974,99.99,-0.002,0.047,g
2459944.741,2022-12-31.2388717,bH,1.48,17.799,>17.799,99.99,0.017,0.055,g
2459947.528,2023-01-03.0256024,bp,1.59,18.033,>18.033,99.99,-0.035,0.044,g
2459949.842,2023-01-05.3388929,bH,1.47,17.748,>17.748,99.99,-0.005,0.058,g
2459951.477,2023-01-06.9737109,bo,2.49,16.71,>16.710,99.99,-0.59,0.15,g
2459953.491,2023-01-08.9878641,bp,1.47,17.142,>17.142,99.99,-0.116,0.101,g
2459953.649,2023-01-09.1458440,bk,1.63,16.934,>16.934,99.99,0.051,0.122,g
2459955.437,2023-01-10.9337212,bp,1.54,16.592,>16.592,99.99,0.435,0.168,g
2459956.741,2023-01-12.2377991,bl,1.44,17.186,>17.186,99.99,0.242,0.097,g
2459962.464,2023-01-17.9603284,bp,1.47,17.919,>17.919,99.99,-0.094,0.049,g
2459962.597,2023-01-18.0930226,bG,1.65,17.035,>17.035,99.99,-0.218,0.111,g
2459965.83,2023-01-21.3261795,bt,1.62,18.359,>18.359,99.99,-0.021,0.033,g
2459967.636,2023-01-23.1314956,bl,1.41,17.727,>17.727,99.99,-0.046,0.059,g
2459968.447,2023-01-23.9420956,bo,1.46,18.643,>18.643,99.99,0.019,0.025,g
2459969.457,2023-01-24.9527439,bp,2.44,18.307,>18.307,99.99,-0.034,0.035,g
2459970.411,2023-01-25.9067239,bp,1.58,18.391,>18.391,99.99,0.053,0.032,g
2459971.699,2023-01-27.1949984,bl,1.46,18.039,>18.039,99.99,0.007,0.044,g
2459971.779,2023-01-27.2750184,bH,1.39,17.965,>17.965,99.99,0.119,0.047,g
2459972.322,2023-01-27.8169967,bo,1.49,17.474,>17.474,99.99,0.23,0.074,g
2459973.891,2023-01-29.3869049,bt,1.52,17.898,>17.898,99.99,0.059,0.05,g
2459974.898,2023-01-30.3935952,bs,1.8,18.289,>18.289,99.99,0.041,0.035,g
2459975.708,2023-01-31.2034672,bG,1.62,17.418,>17.418,99.99,-0.301,0.078,g
