HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460202.792,2023-09-15.2884759,bt,1.54,18.584,>18.584,99.99,0.054,0.027,g
2460203.047,2023-09-15.5428412,bD,1.54,18.584,>18.584,99.99,0.019,0.027,g
2460206.955,2023-09-19.4508787,bD,1.47,18.567,>18.567,99.99,0.039,0.027,g
2460209.934,2023-09-22.4303153,bt,1.47,18.638,>18.638,99.99,0.033,0.025,g
2460210.712,2023-09-23.2080960,bt,1.49,18.247,>18.247,99.99,0.035,0.036,g
2460210.946,2023-09-23.4415521,bD,1.52,18.466,>18.466,99.99,-0.007,0.03,g
2460214.837,2023-09-27.3321502,bD,1.53,17.456,>17.456,99.99,-0.194,0.076,g
2460221.877,2023-10-04.3727728,bD,1.47,18.081,>18.081,99.99,-0.078,0.043,g
2460223.99,2023-10-06.4853028,bD,1.49,18.132,>18.132,99.99,0.028,0.041,g
2460224.956,2023-10-07.4510202,bD,1.48,18.634,>18.634,99.99,0.039,0.026,g
2460227.801,2023-10-10.2965,bD,1.54,18.554,>18.554,99.99,0.038,0.028,g
2460228.93,2023-10-11.4255282,bD,1.48,18.5,>18.500,99.99,0.106,0.029,g
2460229.929,2023-10-12.4236165,bt,1.53,18.567,>18.567,99.99,0.003,0.027,g
2460231.013,2023-10-13.5079358,bD,1.67,18.475,>18.475,99.99,-0.003,0.03,g
2460233.825,2023-10-16.3201512,bt,1.5,18.451,>18.451,99.99,0.081,0.03,g
2460234.811,2023-10-17.3063445,bt,1.47,18.676,>18.676,99.99,0.027,0.025,g
2460235.736,2023-10-18.2310039,bt,1.51,18.607,>18.607,99.99,0.068,0.026,g
2460236.724,2023-10-19.2191940,bt,1.46,18.526,>18.526,99.99,0.067,0.028,g
2460237.739,2023-10-20.2337377,bt,1.48,18.418,>18.418,99.99,0.109,0.031,g
2460239.902,2023-10-22.3966168,bD,1.45,18.408,>18.408,99.99,-0.053,0.031,g
2460241.89,2023-10-24.3852171,bD,1.57,18.161,>18.161,99.99,-0.006,0.04,g
2460243.626,2023-10-26.1211729,bt,1.54,17.471,>17.471,99.99,-0.045,0.075,g
2460244.885,2023-10-27.3801798,bD,1.54,17.209,>17.209,99.99,0.012,0.095,g
2460247.984,2023-10-30.4784188,bD,1.5,17.215,>17.215,99.99,-0.101,0.094,g
2460249.856,2023-11-01.3512394,bD,1.5,18.095,>18.095,99.99,0.084,0.042,g
2460250.687,2023-11-02.1817971,bt,1.51,17.855,>17.855,99.99,0.018,0.052,g
2460252.764,2023-11-04.2590636,bD,1.52,18.742,>18.742,99.99,0.028,0.023,g
2460253.893,2023-11-05.3882888,bD,1.57,18.664,>18.664,99.99,0.056,0.025,g
2460255.637,2023-11-07.1316567,bt,1.59,18.542,>18.542,99.99,0.037,0.028,g
2460257.733,2023-11-09.2276375,bD,1.56,18.618,>18.618,99.99,-0.046,0.026,g
2460264.769,2023-11-16.2645334,bD,1.57,18.905,>18.905,99.99,0.035,0.02,g
2460265.892,2023-11-17.3868900,bD,1.58,18.668,>18.668,99.99,0.065,0.025,g
2460267.669,2023-11-19.1646084,bt,1.45,18.557,>18.557,99.99,0.028,0.027,g
2460270.75,2023-11-22.2455461,bD,1.54,18.39,>18.390,99.99,-0.004,0.032,g
2460286.701,2023-12-08.1966804,bD,2.31,18.327,>18.327,99.99,0.007,0.034,g
2460287.888,2023-12-09.3846373,bD,1.54,18.673,>18.673,99.99,0.082,0.025,g
2460289.813,2023-12-11.3093675,bt,1.58,18.512,>18.512,99.99,-0.051,0.029,g
2460302.849,2023-12-24.3458351,bD,1.52,17.313,>17.313,99.99,0.022,0.086,g
2460304.582,2023-12-26.0795035,bt,1.52,17.545,>17.545,99.99,-0.003,0.07,g
2460309.751,2023-12-31.2482841,bt,1.52,17.99,>17.990,99.99,0.133,0.046,g
2460310.723,2024-01-01.2210347,bt,1.53,18.339,>18.339,99.99,-0.032,0.034,g
2460312.772,2024-01-03.2697376,bD,1.5,18.804,>18.804,99.99,-0.015,0.022,g
2460314.757,2024-01-05.2553048,bD,1.48,18.601,>18.601,99.99,0.014,0.026,g
2460316.773,2024-01-07.2713582,bD,1.51,18.536,>18.536,99.99,0.127,0.028,g
2460333.752,2024-01-24.2518422,bD,1.56,17.56,>17.560,99.99,-0.101,0.069,g
2460334.745,2024-01-25.2446745,bD,1.67,17.433,>17.433,99.99,0.192,0.077,g
2460335.75,2024-01-26.2500803,bD,1.63,17.56,>17.560,99.99,0.055,0.069,g
2460336.742,2024-01-27.2417656,bD,1.63,17.766,>17.766,99.99,0.136,0.057,g
2460337.708,2024-01-28.2079138,bD,1.66,17.403,>17.403,99.99,0.039,0.079,g
2460338.708,2024-01-29.2083208,bD,1.67,17.726,>17.726,99.99,-0.074,0.059,g
2460340.728,2024-01-31.2279766,bD,1.48,18.683,>18.683,99.99,-0.046,0.024,g
2460341.728,2024-02-01.2283068,bD,1.46,18.599,>18.599,99.99,0.004,0.026,g
2460344.717,2024-02-04.2180947,bD,2.13,18.317,>18.317,99.99,-0.029,0.034,g
2460345.714,2024-02-05.2146984,bD,1.61,18.005,>18.005,99.99,-0.004,0.046,g
2460346.71,2024-02-06.2112482,bD,2.03,17.348,>17.348,99.99,-0.107,0.084,g
2460347.711,2024-02-07.2116057,bD,1.82,17.477,>17.477,99.99,-0.064,0.074,g
2460348.63,2024-02-08.1312405,bt,1.57,18.657,>18.657,99.99,-0.018,0.025,g
2460349.655,2024-02-09.1559673,bt,2.19,18.482,>18.482,99.99,0.003,0.029,g
2460353.621,2024-02-13.1228894,bt,1.47,18.454,>18.454,99.99,0.008,0.03,g
2460354.618,2024-02-14.1199444,bt,1.45,18.228,>18.228,99.99,-0.002,0.037,g
2460357.634,2024-02-17.1354960,bt,1.51,17.757,>17.757,99.99,-0.002,0.057,g
2460360.594,2024-02-20.0966981,bt,1.58,17.884,>17.884,99.99,-0.074,0.051,g
2460363.59,2024-02-23.0922667,bt,1.61,17.339,>17.339,99.99,-0.047,0.084,g
