HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459476.634,2021-09-19.1283046,bl,1.56,17.038,>17.038,99.99,-0.125,0.111,g
2459480.583,2021-09-23.0770490,bl,1.57,17.005,>17.005,99.99,-0.193,0.115,g
2459481.48,2021-09-23.9742427,bp,1.59,17.453,>17.453,99.99,0.033,0.076,g
2459482.828,2021-09-25.3221832,bD,1.57,18.112,>18.112,99.99,0.07,0.041,g
2459484.477,2021-09-26.9708342,bp,1.54,17.842,>17.842,99.99,-0.108,0.053,g
2459484.527,2021-09-27.0213995,bl,1.55,18.032,>18.032,99.99,-0.007,0.045,g
2459484.783,2021-09-27.2776820,bH,1.46,17.864,>17.864,99.99,-0.062,0.052,g
2459486.978,2021-09-29.4726969,bD,1.48,18.847,>18.847,99.99,0.012,0.021,g
2459488.794,2021-10-01.2883202,bH,1.39,18.511,>18.511,99.99,-0.062,0.029,g
2459491.53,2021-10-04.0245827,bl,1.52,18.256,>18.256,99.99,-0.06,0.036,g
2459492.565,2021-10-05.0592083,bl,1.51,18.368,>18.368,99.99,0.101,0.033,g
2459493.327,2021-10-05.8218201,bp,1.51,18.548,>18.548,99.99,-0.024,0.028,g
2459494.948,2021-10-07.4427268,bD,1.59,18.745,>18.745,99.99,0.072,0.023,g
2459496.732,2021-10-09.2263672,bt,1.5,18.333,>18.333,99.99,-0.06,0.034,g
2459496.8,2021-10-09.2947646,bH,1.53,18.089,>18.089,99.99,0.08,0.042,g
2459497.742,2021-10-10.2368902,bl,1.5,18.882,>18.882,99.99,0.056,0.02,g
2459498.514,2021-10-11.0088951,bl,2.06,18.04,>18.040,99.99,-0.106,0.044,g
2459498.849,2021-10-11.3435673,bt,1.59,18.769,>18.769,99.99,-0.022,0.023,g
2459502.315,2021-10-14.8095844,bp,1.53,18.132,>18.132,99.99,-0.098,0.041,g
2459503.731,2021-10-16.2255208,bt,1.61,17.377,>17.377,99.99,-0.166,0.081,g
2459508.747,2021-10-21.2416619,bl,1.5,16.893,>16.893,99.99,-0.236,0.127,g
2459509.627,2021-10-22.1218267,bl,1.45,17.308,>17.308,99.99,0.047,0.087,g
2459510.822,2021-10-23.3175745,bt,1.66,16.979,>16.979,99.99,0.299,0.117,g
2459513.312,2021-10-25.8071225,bp,1.64,18.823,>18.823,99.99,-0.047,0.021,g
2459513.714,2021-10-26.2098359,bH,1.36,17.612,>17.612,99.99,-0.062,0.066,g
2459514.336,2021-10-26.8310129,bp,1.57,18.674,>18.674,99.99,0.038,0.025,g
2459514.764,2021-10-27.2596987,bH,1.37,17.754,>17.754,99.99,0.121,0.057,g
2459516.84,2021-10-29.3350768,bD,1.45,18.495,>18.495,99.99,0.059,0.029,g
2459517.676,2021-10-30.1719297,bl,1.63,18.492,>18.492,99.99,0.007,0.029,g
2459518.804,2021-10-31.3000210,bt,1.5,18.483,>18.483,99.99,-0.041,0.029,g
2459519.796,2021-11-01.2921638,bt,1.48,18.156,>18.156,99.99,-0.009,0.04,g
2459522.482,2021-11-03.9776861,bp,1.53,18.461,>18.461,99.99,0.007,0.03,g
2459524.81,2021-11-06.3055847,bD,1.53,19.139,>19.139,99.99,0.018,0.016,g
2459526.855,2021-11-08.3512412,bD,1.54,18.498,>18.498,99.99,-0.056,0.029,g
2459527.626,2021-11-09.1223152,bH,1.39,18.46,>18.460,99.99,0.054,0.03,g
2459528.787,2021-11-10.2834077,bt,1.54,18.223,>18.223,99.99,-0.074,0.037,g
2459529.71,2021-11-11.2064664,bl,1.6,17.811,>17.811,99.99,0.12,0.055,g
2459530.679,2021-11-12.1751751,bt,1.5,18.017,>18.017,99.99,0.029,0.045,g
2459535.353,2021-11-16.8498849,bp,1.55,17.215,>17.215,99.99,-0.091,0.094,g
2459536.528,2021-11-18.0252383,bH,1.77,17.179,>17.179,99.99,0.346,0.098,g
2459537.622,2021-11-19.1194361,bH,1.37,16.945,>16.945,99.99,0.38,0.121,g
2459540.678,2021-11-22.1756216,bl,1.48,17.43,>17.430,99.99,0.263,0.077,g
2459542.809,2021-11-24.3069799,bD,1.55,18.479,17.851,0.122,0.263,0.029,g
2459545.806,2021-11-27.3033221,bD,1.47,18.545,17.829,0.113,0.268,0.028,g
2459546.794,2021-11-28.2919475,bD,1.51,18.367,17.452,0.094,0.379,0.033,g
2459547.672,2021-11-29.1697559,bt,1.56,18.254,17.628,0.122,0.323,0.036,g
2459548.727,2021-11-30.2253740,bt,1.49,18.058,17.793,0.171,0.277,0.043,g
2459550.651,2021-12-02.1496290,bt,1.5,18.229,17.545,0.116,0.349,0.037,g
2459552.715,2021-12-04.2137844,bt,1.49,17.895,17.654,0.175,0.315,0.05,g
2459553.588,2021-12-05.0861368,bH,1.4,18.098,17.299,0.105,0.437,0.042,g
2459553.625,2021-12-05.1232366,bl,1.5,18.177,17.857,0.163,0.261,0.039,g
2459555.663,2021-12-07.1621436,bt,1.56,18.313,17.731,0.127,0.294,0.034,g
